iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_acc,test_acc
1,0.7295351624488831,0.0733799859881401,0.7962013483047485,0.1726626753807068,0.5685449242591858,0.10915330797433853,0.8570023775100708,0.258747398853302,0.24855925142765045,0.46218636631965637
2,0.5605044960975647,0.11720532923936844,0.8501102328300476,0.24765780568122864,0.538095235824585,0.13770577311515808,0.8666279315948486,0.3095187544822693,0.4725568890571594,0.5377915501594543
3,0.5288529396057129,0.16619357466697693,0.8557994961738586,0.3111085593700409,0.5189993977546692,0.15843403339385986,0.8804914951324463,0.35006654262542725,0.552446186542511,0.60296231508255
4,0.5092215538024902,0.20854629576206207,0.8464545607566833,0.3804214298725128,0.5034451484680176,0.17318964004516602,0.8286511898040771,0.3850538432598114,0.6206955313682556,0.6571681499481201
5,0.49339768290519714,0.24686823785305023,0.8298831582069397,0.4127197563648224,0.48948994278907776,0.18944229185581207,0.8055117130279541,0.4197867810726166,0.6765454411506653,0.7087100744247437
6,0.47933459281921387,0.2821594178676605,0.8107835054397583,0.45548245310783386,0.475955992937088,0.20460352301597595,0.7865666151046753,0.4554019868373871,0.7305344343185425,0.754106342792511
7,0.46617385745048523,0.3282371163368225,0.790071427822113,0.4989023506641388,0.4634404480457306,0.21341420710086823,0.7304707169532776,0.4885050058364868,0.7783569097518921,0.7957333922386169
8,0.4535139799118042,0.37149637937545776,0.7263779640197754,0.5477498769760132,0.451335072517395,0.2310708910226822,0.7052921652793884,0.5387816429138184,0.8226712942123413,0.8323311805725098
9,0.4411996304988861,0.4276488125324249,0.6928132176399231,0.6124517321586609,0.43923884630203247,0.24852028489112854,0.6966214776039124,0.5708392262458801,0.8587304353713989,0.8641538619995117
10,0.4291989207267761,0.5053144097328186,0.6721739768981934,0.6600540280342102,0.4268873631954193,0.2563415467739105,0.6425698399543762,0.5994928479194641,0.8899332284927368,0.8910467624664307
11,0.417532742023468,0.5462250709533691,0.5923518538475037,0.6928282380104065,0.4150533676147461,0.24540163576602936,0.5534994006156921,0.6204270124435425,0.9153018593788147,0.9095169901847839
12,0.4062369763851166,0.5942326188087463,0.5095601081848145,0.697324812412262,0.4047984778881073,0.25225934386253357,0.5382328629493713,0.6241427659988403,0.9328519701957703,0.9222504496574402
13,0.3953358232975006,0.6734496355056763,0.4876251518726349,0.7214092016220093,0.3945295512676239,0.24616685509681702,0.4876357316970825,0.6363304853439331,0.9469936490058899,0.9290151596069336
14,0.3848303258419037,0.7187371850013733,0.4463981091976166,0.7500054836273193,0.3841630816459656,0.25181853771209717,0.45571744441986084,0.6390376091003418,0.9534687399864197,0.9333922863006592
15,0.3747013807296753,0.7616905570030212,0.4188598692417145,0.7475363612174988,0.37401947379112244,0.24857963621616364,0.4172638952732086,0.6460688710212708,0.9561983346939087,0.9381784200668335
16,0.36492177844047546,0.81397944688797,0.3923780620098114,0.7477538585662842,0.3647836446762085,0.23488062620162964,0.3737424910068512,0.6441696286201477,0.9590513110160828,0.9401901364326477
17,0.3554695248603821,0.8353908061981201,0.33706462383270264,0.7484281659126282,0.35629570484161377,0.2356732040643692,0.3525286614894867,0.6546475887298584,0.960171639919281,0.9404553771018982
18,0.34633398056030273,0.8672779202461243,0.31771180033683777,0.7499339580535889,0.3479599058628082,0.2302430123090744,0.32634788751602173,0.6485971212387085,0.9607555270195007,0.940101683139801
19,0.33751392364501953,0.8846884369850159,0.2943466305732727,0.7474463582038879,0.33969050645828247,0.23401886224746704,0.32727253437042236,0.6665996313095093,0.9606273770332336,0.9421133995056152
20,0.3290109932422638,0.9436923265457153,0.28601473569869995,0.7935755252838135,0.3316405117511749,0.23811601102352142,0.3255259096622467,0.6867730617523193,0.9619660973548889,0.94465571641922
21,0.32082289457321167,0.9640238881111145,0.28380972146987915,0.8091610670089722,0.32407206296920776,0.23333391547203064,0.30844828486442566,0.693347692489624,0.9635563492774963,0.9448325634002686
22,0.31294071674346924,0.9674931764602661,0.26837366819381714,0.8055317401885986,0.31696444749832153,0.2351936399936676,0.30818912386894226,0.696293830871582,0.9636987447738647,0.9455289244651794
23,0.3053520917892456,0.9755675792694092,0.2678396701812744,0.8077431321144104,0.3100663423538208,0.23291367292404175,0.3038223385810852,0.7011474370956421,0.9640832543373108,0.9458273649215698
24,0.2980470657348633,0.9827982783317566,0.2642262876033783,0.8151816725730896,0.30330991744995117,0.2305833101272583,0.29661089181900024,0.702958881855011,0.9641497135162354,0.9461699724197388
25,0.29102006554603577,0.9896962642669678,0.2575899660587311,0.8175769448280334,0.29681095480918884,0.23372480273246765,0.2963074743747711,0.7057492136955261,0.9639266133308411,0.9466232061386108
26,0.2842673063278198,0.9951645135879517,0.25702887773513794,0.8193150758743286,0.290705144405365,0.233194962143898,0.2960129976272583,0.7223036885261536,0.9640358090400696,0.9468553066253662
27,0.2777823805809021,0.9973698258399963,0.2569098174571991,0.8201034665107727,0.284923791885376,0.23846888542175293,0.30478450655937195,0.7277280688285828,0.9641307592391968,0.9474743008613586
28,0.27155593037605286,0.9985300898551941,0.2652796506881714,0.8264813423156738,0.2793387770652771,0.24733535945415497,0.31897902488708496,0.7286917567253113,0.9649519920349121,0.9478832483291626
29,0.2655791640281677,0.9919803142547607,0.27805450558662415,0.8258976340293884,0.2739322781562805,0.2530774772167206,0.3264354467391968,0.7524728775024414,0.9653033018112183,0.9490549564361572
30,0.2598470151424408,0.9921318888664246,0.2886139154434204,0.8389716744422913,0.26875585317611694,0.25791817903518677,0.33688685297966003,0.7734106183052063,0.9665802717208862,0.9499834179878235
31,0.25435617566108704,0.9922889471054077,0.297184020280838,0.8444700837135315,0.26382872462272644,0.2625860273838043,0.3441563844680786,0.7738796472549438,0.9674110412597656,0.9502928853034973
32,0.2491004914045334,0.9924347996711731,0.30422309041023254,0.8463349938392639,0.25909900665283203,0.2678496241569519,0.361005574464798,0.7689993381500244,0.9677148461341858,0.9507571458816528
33,0.24406880140304565,0.9928125739097595,0.31151053309440613,0.8482899069786072,0.25451380014419556,0.27124732732772827,0.36661362648010254,0.7663396000862122,0.9678952097892761,0.9510666728019714
34,0.23924940824508667,0.9881248474121094,0.3165105879306793,0.8449697494506836,0.25007060170173645,0.2898116409778595,0.3930303752422333,0.7651015520095825,0.968023419380188,0.9527467489242554
35,0.2346343845129013,0.988957941532135,0.34043848514556885,0.8446468710899353,0.2457946389913559,0.2904495298862457,0.3931043744087219,0.7648459672927856,0.969471275806427,0.9530673027038574
36,0.2302170991897583,0.9892810583114624,0.34032654762268066,0.844581127166748,0.2416916936635971,0.2899056375026703,0.39295369386672974,0.7643886208534241,0.969423770904541,0.9530341625213623
37,0.2259874790906906,0.9870002269744873,0.3401181995868683,0.8434023857116699,0.23774507641792297,0.2912318706512451,0.39333927631378174,0.7663967609405518,0.9691674709320068,0.9533989429473877
38,0.22193333506584167,0.9870002269744873,0.34039315581321716,0.8437823057174683,0.2339421510696411,0.2931341826915741,0.3947245180606842,0.7712075710296631,0.9692386388778687,0.9540731906890869
39,0.21804594993591309,0.9869949817657471,0.34143173694610596,0.8455571532249451,0.2302749902009964,0.2999894320964813,0.40690305829048157,0.7798230051994324,0.969428539276123,0.9552116990089417
40,0.21432006359100342,0.9874985218048096,0.35342836380004883,0.8542395234107971,0.22672724723815918,0.3003845810890198,0.40917447209358215,0.7837769985198975,0.9702877998352051,0.9557532668113708
41,0.21074877679347992,0.9874985218048096,0.3552033007144928,0.8573512434959412,0.2232789695262909,0.30209851264953613,0.4101402461528778,0.7874733805656433,0.9705725908279419,0.9564275741577148
42,0.2073224037885666,0.9874985218048096,0.3559088408946991,0.8583460450172424,0.21992580592632294,0.3045835793018341,0.41211700439453125,0.7930061221122742,0.9707292318344116,0.957322895526886
43,0.2040337175130844,0.9916267395019531,0.35799741744995117,0.8632763624191284,0.21668323874473572,0.29577574133872986,0.3991616368293762,0.7957134246826172,0.9712656736373901,0.9574223756790161
44,0.20087794959545135,0.9913271069526672,0.3457413911819458,0.8634079694747925,0.2135697603225708,0.29669657349586487,0.3994646668434143,0.7973705530166626,0.9710283279418945,0.9579197764396667
