iteration,train_loss,test_loss,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_F1,test_F1
1,0.6963573694229126,0.687057375907898,0.08212994039058685,0.08328727632761002,0.07242297381162643,0.07282090932130814,0.9767819046974182,0.9802743792533875,0.1592303216457367,0.17888793349266052
2,0.6872838735580444,0.6792430281639099,0.0831553190946579,0.08552005887031555,0.07323335856199265,0.0725541040301323,0.9821904301643372,0.9775563478469849,0.16093862056732178,0.17814484238624573
3,0.6795070171356201,0.6708639860153198,0.08481680601835251,0.09306952357292175,0.07290828973054886,0.07259488850831985,0.9797139167785645,0.9660894870758057,0.16016554832458496,0.17769797146320343
4,0.6711516380310059,0.6613039970397949,0.09241220355033875,0.10542721301317215,0.07303161919116974,0.07277625799179077,0.9703147411346436,0.9608381986618042,0.15994344651699066,0.17725589871406555
5,0.6616044044494629,0.6502133011817932,0.10450786352157593,0.1303747147321701,0.07331924885511398,0.07233057171106339,0.9579960703849792,0.9424351453781128,0.1609838753938675,0.1750960797071457
6,0.6505339741706848,0.6372756361961365,0.1293542981147766,0.17795954644680023,0.07302242517471313,0.07351934164762497,0.9416245818138123,0.8922064900398254,0.16064958274364471,0.17706574499607086
7,0.6375927925109863,0.6221610307693481,0.17523522675037384,0.23574665188789368,0.07384030520915985,0.06856490671634674,0.8881301879882812,0.7690422534942627,0.16274775564670563,0.17045386135578156
8,0.6224589347839355,0.6046975255012512,0.2325424700975418,0.31116393208503723,0.06960505992174149,0.0698665976524353,0.7866648435592651,0.7116267681121826,0.153344064950943,0.1746848225593567
9,0.6049582362174988,0.5843754410743713,0.3101199269294739,0.3912457227706909,0.07031247764825821,0.06709467619657516,0.725071370601654,0.634678304195404,0.15936179459095,0.16589269042015076
10,0.5845725536346436,0.5610743761062622,0.3917229175567627,0.4755941331386566,0.06842734664678574,0.056139953434467316,0.6509259939193726,0.5322091579437256,0.1558617651462555,0.1595011204481125
11,0.5611979365348816,0.5350694060325623,0.47559505701065063,0.5515972375869751,0.05789025127887726,0.05208022519946098,0.5624261498451233,0.4616754651069641,0.14060291647911072,0.16416208446025848
12,0.5350821614265442,0.506514310836792,0.5530965328216553,0.6226263046264648,0.05230996757745743,0.04535260796546936,0.47864216566085815,0.3705918490886688,0.14550068974494934,0.15509627759456635
13,0.5063849687576294,0.47622501850128174,0.625314474105835,0.6886923909187317,0.04624933749437332,0.046121492981910706,0.3958166837692261,0.27090218663215637,0.13405998051166534,0.17875292897224426
14,0.4759235680103302,0.4448820948600769,0.6913184523582458,0.7473748326301575,0.04695587605237961,0.0417277067899704,0.2784772515296936,0.20781627297401428,0.1584012359380722,0.20154455304145813
15,0.4444110691547394,0.41388270258903503,0.749356746673584,0.7905493378639221,0.04639190435409546,0.058772727847099304,0.223073348402977,0.18610408902168274,0.17561182379722595,0.2279263734817505
16,0.4132257401943207,0.38436681032180786,0.7922137975692749,0.8186581134796143,0.0696253702044487,0.06694887578487396,0.18537580966949463,0.16125240921974182,0.2038821429014206,0.24054282903671265
17,0.38353148102760315,0.35733458399772644,0.8196995854377747,0.8396153450012207,0.08158104866743088,0.05815357714891434,0.15742425620555878,0.13573583960533142,0.23028665781021118,0.2707546055316925
18,0.35633769631385803,0.3334777355194092,0.8401739597320557,0.8616337180137634,0.07611829042434692,0.06709721684455872,0.13871943950653076,0.10736245661973953,0.24555903673171997,0.28966695070266724
19,0.3323315382003784,0.31284794211387634,0.8621246218681335,0.8807007670402527,0.07703249156475067,0.07764977961778641,0.11307061463594437,0.07414127886295319,0.2575710713863373,0.29972049593925476
