iteration,train_loss,test_loss,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_F1,test_F1
1,0.6995832324028015,0.6921786665916443,0.07872625440359116,0.07910909503698349,0.0744907408952713,0.07440748810768127,0.9975388646125793,0.9977443814277649,0.16417458653450012,0.1816910356283188
2,0.6919593811035156,0.6853124499320984,0.07886866480112076,0.08295567333698273,0.07483527809381485,0.07447557896375656,1.0,0.9977443814277649,0.1649406999349594,0.18185940384864807
3,0.6851292848587036,0.6781327128410339,0.0828230157494545,0.08807339519262314,0.07491608709096909,0.07457969337701797,1.0,0.9973683953285217,0.16511735320091248,0.18206027150154114
4,0.6779937148094177,0.6701322793960571,0.08789294213056564,0.09669503569602966,0.07502530515193939,0.07446543127298355,0.9997271299362183,0.9865074753761292,0.16531702876091003,0.18329136073589325
5,0.6699914932250977,0.6609540581703186,0.09660390764474869,0.10838951915502548,0.07499770820140839,0.07307440042495728,0.9901577234268188,0.9623995423316956,0.16648031771183014,0.17929866909980774
6,0.6608203649520874,0.6502633690834045,0.10759349167346954,0.1337238848209381,0.07347915321588516,0.07196639478206635,0.9679107666015625,0.933346152305603,0.16260364651679993,0.17738069593906403
7,0.6501316428184509,0.6372302174568176,0.13248740136623383,0.17158174514770508,0.07218456268310547,0.07083487510681152,0.939964771270752,0.8971383571624756,0.1603517234325409,0.1751289665699005
8,0.6371425986289978,0.6213935613632202,0.16957664489746094,0.230728417634964,0.0711570531129837,0.06593567878007889,0.8989575505256653,0.8378976583480835,0.16097882390022278,0.17042049765586853
9,0.621304452419281,0.6028391718864441,0.228317528963089,0.2912678122520447,0.0662187710404396,0.06166592985391617,0.8434334397315979,0.7437031269073486,0.15074901282787323,0.17013567686080933
10,0.6027716398239136,0.581870973110199,0.2887009084224701,0.3656350076198578,0.06207328289747238,0.05813678354024887,0.7715163826942444,0.6506752967834473,0.14691993594169617,0.17328907549381256
11,0.5817961692810059,0.5577088594436646,0.3633398711681366,0.4525699019432068,0.05870821326971054,0.055467650294303894,0.6755616068840027,0.5583028197288513,0.14884909987449646,0.17662130296230316
12,0.5576543211936951,0.5313264727592468,0.44972798228263855,0.5349397659301758,0.055815909057855606,0.05002797022461891,0.5735805034637451,0.45212647318840027,0.15564759075641632,0.18106703460216522
13,0.5312795639038086,0.502790093421936,0.5347821712493896,0.6226484179496765,0.05113979056477547,0.04241082817316055,0.4668448269367218,0.36274605989456177,0.15833689272403717,0.17732208967208862
14,0.5028265118598938,0.47292017936706543,0.6244742274284363,0.6938322186470032,0.04354949668049812,0.044253427535295486,0.39158135652542114,0.32502198219299316,0.1493508666753769,0.20255792140960693
15,0.47292324900627136,0.44118744134902954,0.6959184408187866,0.7439703941345215,0.04683120921254158,0.033597152680158615,0.3276669681072235,0.23740078508853912,0.17920264601707458,0.17301830649375916
16,0.4410730004310608,0.4088818430900574,0.7477474808692932,0.7942522168159485,0.03789723664522171,0.03821774572134018,0.2303672730922699,0.2053326517343521,0.1566838175058365,0.18416300415992737
17,0.4086868166923523,0.37810221314430237,0.7990590929985046,0.8363656401634216,0.04033359885215759,0.03780898451805115,0.20191971957683563,0.17223498225212097,0.1717226505279541,0.22372618317604065
18,0.3777872323989868,0.34855303168296814,0.8404160141944885,0.869161069393158,0.04400035738945007,0.03343994915485382,0.16396643221378326,0.11321914196014404,0.21047687530517578,0.24722525477409363
19,0.3480474054813385,0.3226929008960724,0.8725777864456177,0.8866032958030701,0.047356314957141876,0.028528625145554543,0.10199593752622604,0.09936457872390747,0.24887990951538086,0.30235597491264343
20,0.3219992220401764,0.30031856894493103,0.8897054195404053,0.8992594480514526,0.06753764301538467,0.037648480385541916,0.08977114409208298,0.060504764318466187,0.29008620977401733,0.3317568898200989
21,0.2994658946990967,0.28238141536712646,0.9010794758796692,0.9100696444511414,0.09099551290273666,0.03411521390080452,0.05588323250412941,0.041463062167167664,0.2892725467681885,0.3154025375843048
