iteration,train_loss,test_loss,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_F1,test_F1
1,0.6881291270256042,0.6814795732498169,0.08001746982336044,0.0837404653429985,0.07489082962274551,0.07422517240047455,0.9874711036682129,0.9865924715995789,0.1664123684167862,0.18283019959926605
2,0.6813220381736755,0.6742584109306335,0.08447501808404922,0.09176522493362427,0.0747784674167633,0.07471532374620438,0.9795345664024353,0.9861051440238953,0.16740374267101288,0.18399634957313538
3,0.6741951704025269,0.66627037525177,0.09285368770360947,0.1020006611943245,0.07529381662607193,0.07529985159635544,0.9790124893188477,0.9843681454658508,0.16850626468658447,0.1853630542755127
4,0.6662769317626953,0.6569804549217224,0.10267072916030884,0.12365424633026123,0.07572748512029648,0.07498210668563843,0.9563584327697754,0.9457293748855591,0.17216511070728302,0.19003945589065552
5,0.6570274829864502,0.6459713578224182,0.12389036267995834,0.15652702748775482,0.07532895356416702,0.07447811216115952,0.9271806478500366,0.9003473520278931,0.17158691585063934,0.1924530267715454
6,0.6460821032524109,0.6329363584518433,0.15676891803741455,0.2047087401151657,0.0749194324016571,0.07288108021020889,0.8768289685249329,0.8463339805603027,0.17632772028446198,0.18956215679645538
7,0.6330990791320801,0.6176314949989319,0.20465786755084991,0.2663203179836273,0.07317104935646057,0.07136544585227966,0.8186285495758057,0.7931271195411682,0.17601405084133148,0.18673549592494965
8,0.6178524494171143,0.5995418429374695,0.2666552662849426,0.33329281210899353,0.07170223444700241,0.06130705028772354,0.7704514861106873,0.6703912615776062,0.17278169095516205,0.1785144954919815
9,0.5998222827911377,0.5787022709846497,0.33373209834098816,0.4202498197555542,0.06201634928584099,0.051229219883680344,0.6519227027893066,0.5615484714508057,0.16172897815704346,0.16692398488521576
10,0.5790453553199768,0.5546510219573975,0.4199398159980774,0.5105228424072266,0.05172776058316231,0.046827282756567,0.5541881918907166,0.45136433839797974,0.14602431654930115,0.1734510213136673
11,0.555054783821106,0.5276021361351013,0.5108946561813354,0.5954349637031555,0.04745280742645264,0.04474497213959694,0.4456005096435547,0.3788256049156189,0.1511518508195877,0.1792886108160019
12,0.5280675888061523,0.4979677200317383,0.5963997840881348,0.6567481160163879,0.045763060450553894,0.0365900993347168,0.3686612844467163,0.31065037846565247,0.16261479258537292,0.17829038202762604
13,0.49849843978881836,0.4666825532913208,0.658962070941925,0.7124682068824768,0.039671752601861954,0.03140207380056381,0.30585426092147827,0.2517419755458832,0.16093510389328003,0.18004533648490906
