iteration,train_loss,test_loss,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_F1,test_F1
1,0.6968467235565186,0.6907158493995667,0.07909652590751648,0.07945175468921661,0.07510513067245483,0.07466106116771698,0.9998780488967896,0.999588668346405,0.16544252634048462,0.18222208321094513
2,0.6903166770935059,0.6844775080680847,0.07974688708782196,0.08101028203964233,0.07518164068460464,0.07489345967769623,0.9998350143432617,0.999476969242096,0.16556985676288605,0.18260276317596436
3,0.6841201782226562,0.6781947016716003,0.08137039840221405,0.08235879242420197,0.07539711147546768,0.07498790323734283,0.9997274875640869,0.999476969242096,0.16589301824569702,0.18276551365852356
4,0.6778706908226013,0.6715506315231323,0.0826331302523613,0.0853210985660553,0.07548031955957413,0.07499031722545624,0.9996441602706909,0.9980677962303162,0.16601279377937317,0.18263894319534302
5,0.671251118183136,0.6642911434173584,0.08537697046995163,0.09090305864810944,0.07545572519302368,0.074593186378479,0.9982456564903259,0.9791538715362549,0.1658349186182022,0.18455751240253448
6,0.6640099287033081,0.656140923500061,0.09107351303100586,0.10576986521482468,0.07511282712221146,0.07502348721027374,0.9814620018005371,0.967275857925415,0.16604842245578766,0.186835378408432
7,0.6558850407600403,0.6468527913093567,0.10611239075660706,0.12457168102264404,0.07553249597549438,0.07498518377542496,0.9782313108444214,0.9428320527076721,0.1665283441543579,0.18739989399909973
8,0.6466283798217773,0.63609778881073,0.12525753676891327,0.15296784043312073,0.07554998993873596,0.07519013434648514,0.9499837756156921,0.9322074055671692,0.16826464235782623,0.18819136917591095
9,0.635915994644165,0.6236314177513123,0.1533842235803604,0.20660991966724396,0.0758095234632492,0.07358460128307343,0.9272247552871704,0.8844194412231445,0.1688442826271057,0.1906256377696991
10,0.6235051155090332,0.6091495156288147,0.20706941187381744,0.27183595299720764,0.07418958097696304,0.067959725856781,0.8781946301460266,0.7652363181114197,0.17025120556354523,0.19305504858493805
11,0.6090947985649109,0.592488706111908,0.2731018662452698,0.34861278533935547,0.06871774047613144,0.06409070640802383,0.7557342648506165,0.682377278804779,0.17405585944652557,0.18623776733875275
12,0.5925142765045166,0.5734691023826599,0.35023781657218933,0.42300209403038025,0.06513343751430511,0.06007179990410805,0.6724331974983215,0.5861114859580994,0.17141835391521454,0.18739818036556244
13,0.5735992193222046,0.5519523620605469,0.4242691695690155,0.4927932024002075,0.059434954077005386,0.04878605157136917,0.5915111303329468,0.4709635376930237,0.16813012957572937,0.16597077250480652
14,0.5521975755691528,0.5279489159584045,0.4928508400917053,0.563811182975769,0.048537477850914,0.043495092540979385,0.4939042925834656,0.4072999656200409,0.1430714726448059,0.16236402094364166
15,0.5283159613609314,0.5015549659729004,0.5636873841285706,0.6375483870506287,0.045864854007959366,0.042319122701883316,0.4160814583301544,0.3192375600337982,0.13973595201969147,0.17195914685726166
16,0.5020503997802734,0.4731253385543823,0.6365509033203125,0.710345983505249,0.042769912630319595,0.03464234992861748,0.32189223170280457,0.23387247323989868,0.1446256935596466,0.17987237870693207
17,0.4737473726272583,0.443422794342041,0.7079903483390808,0.7672598361968994,0.037224989384412766,0.036063820123672485,0.2387559711933136,0.19316482543945312,0.14819788932800293,0.18419544398784637
18,0.4441651701927185,0.4133296608924866,0.7662517428398132,0.8171327710151672,0.04052142798900604,0.03715595602989197,0.19923920929431915,0.1419927477836609,0.1529126912355423,0.1589002013206482
19,0.41418176889419556,0.383871853351593,0.8160300850868225,0.8500828742980957,0.03408444672822952,0.034841280430555344,0.144095316529274,0.11049467325210571,0.1424473226070404,0.16019567847251892
20,0.3848083019256592,0.35613390803337097,0.8491934537887573,0.867215633392334,0.03268808871507645,0.0357181541621685,0.10784190893173218,0.09091131389141083,0.15398627519607544,0.15985791385173798
21,0.3571311831474304,0.3312235176563263,0.8669809103012085,0.8772079348564148,0.03303878754377365,0.033510178327560425,0.09127146750688553,0.06675717234611511,0.1458601951599121,0.1370215117931366
22,0.3322475850582123,0.3099833130836487,0.8770115971565247,0.8904056549072266,0.03133297339081764,0.05361344292759895,0.06868323683738708,0.05377838388085365,0.12859441339969635,0.16062718629837036
23,0.3109990358352661,0.2926924228668213,0.8900946378707886,0.9000110626220703,0.0523437075316906,0.07383766025304794,0.05633297562599182,0.0428043007850647,0.1441584974527359,0.2074757218360901
24,0.29366979002952576,0.2791026532649994,0.899712324142456,0.9157510995864868,0.056175000965595245,0.0623188279569149,0.04639653488993645,0.026540709659457207,0.1769835203886032,0.22919540107250214
25,0.2800200879573822,0.2686193883419037,0.9150312542915344,0.9178733229637146,0.0731327086687088,0.19239842891693115,0.02392876334488392,0.017768779769539833,0.18095847964286804,0.21363931894302368
26,0.26945656538009644,0.26044002175331116,0.9174903035163879,0.9179396629333496,0.05155915766954422,0.11559633165597916,0.01587301678955555,0.017543859779834747,0.3056654930114746,0.29545897245407104
27,0.26118066906929016,0.2536994516849518,0.917618453502655,0.9179285764694214,0.09022852778434753,0.11559633165597916,0.01587301678955555,0.017543859779834747,0.3056654930114746,0.29545897245407104
28,0.25433388352394104,0.2478160560131073,0.9176089763641357,0.920017659664154,0.12030470371246338,0.11590341478586197,0.01587301678955555,0.012670565396547318,0.3056654930114746,0.2711440324783325
29,0.24833616614341736,0.24245569109916687,0.9195980429649353,0.921421468257904,0.1203528344631195,0.06251306086778641,0.01152287982404232,0.0037315511144697666,0.2801823616027832,0.08236362040042877
30,0.24285490810871124,0.23750177025794983,0.9209129810333252,0.924096405506134,0.05327323079109192,0.06467532366514206,0.0034578286577016115,0.001160097192041576,0.09004481136798859,0.09083234518766403
31,0.23777370154857635,0.23300956189632416,0.9234811663627625,0.923775851726532,0.06236100196838379,0.2902309000492096,0.0012056156992912292,0.021573148667812347,0.09899744391441345,0.4890013635158539
32,0.2331530600786209,0.2290886491537094,0.9235618710517883,0.9215430617332458,0.3455124795436859,0.28196895122528076,0.020158888772130013,0.03680579364299774,0.50371915102005,0.4661715030670166
33,0.22910469770431519,0.2257145643234253,0.9213971495628357,0.9165911078453064,0.2846495509147644,0.28736570477485657,0.03313552588224411,0.048541996628046036,0.5633848905563354,0.42241448163986206
34,0.22560939192771912,0.2228056639432907,0.9170345664024353,0.9127224683761597,0.2995310127735138,0.24201779067516327,0.04400274157524109,0.06189859285950661,0.43168216943740845,0.47853735089302063
35,0.22259001433849335,0.2203243374824524,0.9129947423934937,0.9109428524971008,0.24774909019470215,0.28921130299568176,0.055956121534109116,0.07294607907533646,0.486176997423172,0.4749268591403961
36,0.22001229226589203,0.21815328299999237,0.9113190174102783,0.9094506502151489,0.3332507312297821,0.2390289455652237,0.06581678986549377,0.07532839477062225,0.4376693069934845,0.42541781067848206
37,0.2177610993385315,0.21617469191551208,0.9098948836326599,0.9085774421691895,0.22656284272670746,0.17790472507476807,0.06793007254600525,0.07823291420936584,0.4295814335346222,0.38981106877326965
38,0.2157200276851654,0.2143079787492752,0.9088552594184875,0.9068862795829773,0.19410255551338196,0.2533920407295227,0.071096271276474,0.08340850472450256,0.36692535877227783,0.3499574363231659
39,0.2138093262910843,0.2125033438205719,0.9074453711509705,0.9074941873550415,0.2758811414241791,0.28803738951683044,0.0762752816081047,0.09622903168201447,0.34021085500717163,0.43236517906188965
40,0.2119770646095276,0.21077023446559906,0.9083425998687744,0.9091300964355469,0.3011358976364136,0.27915629744529724,0.08855683356523514,0.09499537944793701,0.4206601083278656,0.41674482822418213
41,0.21023181080818176,0.20912426710128784,0.9100230932235718,0.9124903082847595,0.29014265537261963,0.2756662964820862,0.08664694428443909,0.08715475350618362,0.38087132573127747,0.42013120651245117
