iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_accuracy,test_accuracy
1,0.6946329474449158,0.0746627151966095,1.0,0.1646183431148529,0.6939002275466919,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
2,0.6939055919647217,0.0746627151966095,1.0,0.1646183431148529,0.6931689977645874,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
3,0.6931754350662231,0.0746627151966095,1.0,0.1646183431148529,0.6924338936805725,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
4,0.6924412846565247,0.0746627151966095,1.0,0.1646183431148529,0.6916936635971069,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
5,0.6917022466659546,0.0746627151966095,1.0,0.1646183431148529,0.6909471154212952,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
6,0.6909567713737488,0.0746627151966095,1.0,0.1646183431148529,0.690192699432373,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
7,0.6902035474777222,0.0746627151966095,1.0,0.1646183431148529,0.6894289255142212,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
8,0.6894410252571106,0.0746627151966095,1.0,0.1646183431148529,0.6886543035507202,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
9,0.6886676549911499,0.0746627151966095,1.0,0.1646183431148529,0.6878670454025269,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
10,0.6878817081451416,0.0746627151966095,1.0,0.1646183431148529,0.6870653033256531,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
11,0.6870813369750977,0.0746627151966095,1.0,0.1646183431148529,0.6862473487854004,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
12,0.6862648725509644,0.0746627151966095,1.0,0.1646183431148529,0.6854111552238464,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
13,0.6854302287101746,0.0746627151966095,1.0,0.1646183431148529,0.6845546364784241,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
14,0.6845753192901611,0.0746627151966095,1.0,0.1646183431148529,0.6836757659912109,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
15,0.6836981773376465,0.0746627151966095,1.0,0.1646183431148529,0.6827722787857056,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
16,0.6827964186668396,0.0746627151966095,1.0,0.1646183431148529,0.6818417310714722,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
17,0.681867778301239,0.0746627151966095,1.0,0.1646183431148529,0.680881679058075,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
18,0.6809096336364746,0.0746627151966095,1.0,0.1646183431148529,0.6798896789550781,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
19,0.6799197196960449,0.0746627151966095,1.0,0.1646183431148529,0.6788627505302429,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
20,0.6788949370384216,0.0746627151966095,1.0,0.1646183431148529,0.6777982711791992,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
21,0.6778327822685242,0.0746627151966095,1.0,0.1646183431148529,0.6766930818557739,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
22,0.6767300367355347,0.0746627151966095,1.0,0.1646183431148529,0.6755441427230835,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
23,0.6755836606025696,0.0746627151966095,1.0,0.1646183431148529,0.6743481159210205,0.0741792842745781,1.0,0.18124458193778992,0.0746627151966095,0.0741792842745781
